% Training set for NPO SNS Study, September 2015
% Title: NPO tweets / posts training set
% Codes formatted as nominal, numeric values.
% URLs stripped and replaced with binary feature
%
@relation NPO_message_collapse_class

@attribute tweet_text string
@attribute url {0,1}
@attribute category {1,2,3,4,5}

@data
"\Women should ask for support in their careers rather than manage conflicting work and home demands alone\ -@ChicCPA",1,3
"***Media Alert*** #SafeandHealthySummer June15th at 8am",1,3
"...Up and heading to WEFT to continue the discussion we began yesterday at ...And The Women Gathered...on gun violence in Champaign.Tune in to Higher Ground at 8...and have good weekends!",1,2
"Check out Chicago Tribune's celebrity calendar and make sure you save the date for Lynn Sage Cancer Research Foundation's Fall Benefit featuring Diane Keaton! Purchase your tickets today here: !",1,2
"Check out KID's new blog post on the latest chapter in the Nap Nanny recall story.",0,3
"Great read.",0,3
"In addition to blueberries, there are some other tasty items you can order online. Check out these BlueberryGoGo™ Products...another yummy way to support at risk youth!",0,2
"June is Post-traumatic Stress Disorder Awareness Month - up to 50% of people with PTSD do not seek treatment. It's time to change your beliefs about PTSD and learn ways that you can help. Visit  to learn how you can make a difference!",1,1
"New St. Vincent de Paul Youth Group for High school students forming at Queen of Angels. Emphasis on Friendship, Service to those in need & growth in Spirituality.  Watch the video to get an idea of what it's all about.",0,2
"Sign up for summer Lango soon!!",0,2
"Thank you, Carol Marin, for the compassion shown in your column today.  We are proud you are part of the Misericordia family.  (Note: you may need to register to read the piece; it's free and takes 10 seconds.)",1,3
"The CSB stars are resting up this weekend before the Pride festivities kick off...but, we are very excited that of our very own, JD, is competing in Windy City Gay Idol this weekend! You will find us at Sidetracks this Saturday afternoon cheering him on!!! Good luck #15! We are proud of you!",0,4
"The Nap Nanny has been officially recalled today after 5 deaths were reported. If you or anyone you know is using the Nap Nanny to care for their children, please inform them of its dangers and this recall.",0,3
"The Peace Corner has a free App! Download it for great resources for youth and career development!",0,2
"The Peace Corner has a free App! Download it for great resources for youth and career development!",0,2
"Vovie vow vow!",0,3
"We assisted over 15 LGBT seniors today with the help the West Cook Pro Bono Network!",0,2
"Weekend enjoyment for anyone who's been to the north country...",0,3
"With summer approaching and warm weather finally here, I'm thrilled to see more people walking and riding bikes on my daily commute to work.We can no doubt expect the number of cyclists to continue to climb given the success of Chicago's bike week …",0,3
"yum.",0,3
"Chi Cup 2013 started a little wet today but still good times!",0,3
"Chi Cup 2013 started a little wet today but still good times!",0,3
"Choose thoughts filled with kindness for you, others and the world. All Things Positivity",0,1
"Congratulations graduates! Some of graduates had early graduation party at CAAALEII tonight!",0,4
"G O O D M O R N I N G!",0,5
"How Foreclosure Has Devastated Latino Chicago (And What We're Doing to Help)More on how the crisis impacts Latinos:",1,3
"Metropolitan wishes all dads a Happy Father's Day weekend! Like/share to show your love for dad!",0,1
"Milwaukee vs Cinci at Chi Cup",0,3
"NLEI's Annual Dinner and Silent Auction, 41st Edition, will be held on Wednesday June 19th at the elegant Hilton Chicago on Michigan Avenue. The Marimba Ensemble from Holy Cross/Immaculate Heart of Mary Church, the pride of Back of the Yards, will perform during the dinner. For information, call NLEI: 773-247-0707.",0,2
"No se les olvide que mañana tenemos dos eventos aqui en la Casa Michoacan. Habra comida, musica, platica, y bailes durante los dos eventos. 1. Panel titulado: \Mujer, Migracion, y Cultura\, una conversacion sobre los nuevos roles y desafios entre las mujeres migrantes han tomado. 2. Taller y mesa redonda sobre Migracion (Accion Diferida) y los jovenes.",0,5
"Now Miami Surf vs Cowtown Crazees. Tough game",0,3
"Thank you Mariuxi Benitez for going extra miles, literally & figuratively, to get those college sweaters for graduates!",0,4
"The Chicago Sun-Times reports about 850 teachers and staffers at schools doomed to either close this month or to reboot their staffs were handed pink slips Friday afternoon, according to Chicago Public Schools.  At the 48 closing schools, 420 teachers of 1,005 total lost their jobs, plus 110 paraprofessionals and 133 bus aides and part-timers. At the five schools headed for “turnaround,” where the children remain in the building but all the adults are replaced, 192 staffers were laid off: 125 teachers, 20 paraprofessionals, 20 bus aides and part-timers and 27 clerks, custodians and security staffers.This is just one reason everyone should support the programs at Ada McKinley Community Services.   Please tell your friends and family about Ada McKinley and ask them to like our Facebook pages and join us on LinkedIn and help support us financially.",0,1
"TRULY SACRED!It's been about an 12+ hours...AND I'M STILL TRYING TO PROCESS ALL that was shared at today's ...And The Women Gathered... at the Douglass Library. WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOW...Breaking the cycle/pipeline to prison (or the graveyard) BEGINS WITH EACH OF US SHOWING UP FOR EACH OTHER--- FA' REAL!Thank you all for every prayer offered up on behalf of the gathering and for those who attended. May blessings, healing and prosperity be yours until next we gather,---Nicole",0,4
"We are so excited!  ABC Chicago channel 7 will be playing our War Dogs interview with disability reporter Karen Meyers. Tune in tomorrow, Father's Day between 8-8:30 am to check it out.  You can also go to abc7chicago.com.  We'll be posting pictures here all day today!!",0,2
"We hope that by addressing inequality in education, housing, civic engagement and legal status, the Forum can be part of the solution to keep more Latino fathers out of the prison system and at home with their children.  Happy Father's Day!",1,3
"Whats Your Color #ShoeCrush",0,1
"With so many negative stories about our youth in the news, we celebrated the positive and productive work being done by our young scholars.",0,3
"Congratulations to all the dancers who performed spectacularly in the concert and the benefit!Thank you to all the students, parents, teachers, accompanists, board members, Steve Carmichael and his team, Alison Kerekes, Jennifer Tapp, Lander Ellis, Maxine Lapin, The Robert Joffrey and George Arpino Foundation, and all the volunteers for creating beautiful performances and a wonderful benefit!",0,4
"Due to weather conditions, the ESLL  picnic will be postponed. Stay tuned for a future rescheduled date. Thank You.",0,2
"Have you asked your friends to like KRCC on Facebook? If you didn't, now is the time. Please invite or poke your friends to become KRCC facebook friends.",0,1
"Have you signed up for summer ballet at CBA?",0,2
"Join me in Prayer EVERY NIGHT at 9pm until June 14th, via conference call Dial 218-339-2626 code 966408!",0,2
"Lots of choices to be outside your home today: Madigan rally at noon; Windy City Gay Idol semi-finals at Sidetrack (doors open at 2, show at 3); Gay and Lesbian Medical Assn benefit tonight at Lurie Children's; and any number of events going on this weekend. Tomorrow is the protest against the Cardinal ... Our joint calendar for Pride with GoPride is here: ",1,2
"Many times we tend to keep people in our circles for what would perceive itself to be friendships, romance, resources, blood ties, etc........ Consider this, God can place people in your lives, or vice-versa, for seasons of purpose. When that purpose is fulfill, let them complete their God given assignments and let them go. Sometimes its for the good and other times its for the bad.....But all things work together for good of them that love God and are called according to his purpose. Stop holding on to people, when you should, LET THEM GO!!!  If its meant to be, it will be!!",0,1
"Marillac gave away clothes today in honor of Father's Day. Members of our center were able to choose from a wide variety of brand-new items. Thanks!",0,2
"More on the Nap Nanny recall from USA Today with quotes from KID. Bottom line?  Don't use it! ",1,3
"New Beginnings members putting the final touches for tomorrow's event! #SafeandHealthySummer ",1,2
"Rip-gays believe it or not: John Corvino, NOM's Maggie Gallagher debate marriage equality July 23 at the gay bar Roscoe's in Chicago",1,2
"Welp. We are gonna play it safe and cancel today's racing due to the forecast. RACING IS SET FOR SUNDAY, JUNE 16. Same time. Same place.",0,2
"Behind The Brand: Starcom MediaVest Group CEO Laura Desmond On The Evolution Of Cannes Ad Fest #TCNMember  via @forbes",1,2
"Amnesty Summer Concert 2013 | Amnesty International USA",1,2
"Happy Friday! The weekends are made for volunteering (and sleeping). Do you have any fun volunteers plan? Maybe @ChicagoCares serve-a-thon?",0,1
"Eye opener ---> At The Movies, The Women Are Gone :",1,3
"Curious about the results of the LPCS Get Healthy Challenge? Read about our success here!",0,3
"ON THE SIX MONTH ANNIVERSARY OF THE NEWTOWN SHOOTINGS, join us to reflect and examine the impacts of gun violence on women in our communities and consider our role in gun violence prevention efforts.See you soon at Douglass Library in Champaign, Illinois at 3:00 pm TODAY!---NicoleHere are some directions for those who might need them:Here are the directions to Douglass Library for those who need it:",1,2
"“I had never heard a man talk about rape, and I just felt I was completely alone. But once I spoke up, I finally felt understood, and I also learned that I am not as alone as I thought I was.\- Gabe Wright",0,3
"The Sheriff of Cook County is now providing the status of civil process on their website. Though proof of service will appear on the docket on the clerk’s website, it does not provide a service date. This is a wonderful new service as attorneys will no longer need to call the Civil Process desk, or go in to the Daley Center, to get a service date. The service lookup can either be found as a link on the Cook County Sheriff’s general website, or directly here:",1,3
"On today's blogs: what you should do if you've had an accident and have fallen to the ground.",0,3
"A big shout out to 3Arts awardee Harold Mendez and all of the other terrific artists selected for the CTA’s public art project!",0,4
"After almost 6 months of fighting it, the Judge dubiously orders that last tenants out of the Chateau. While this isn't what we wanted, at least the Law Center was able to give our clients the time necessary to find new housing and avoid living on the streets.",0,4
"Why a rainbow flag has become one of the primary symbols of Occupy Gezi in Instanbul, Turkey",1,3
"Feeling a little worse for the ware? Trying to stay mentally acute? Here are some tips how.",1,3
"World Sport Chicago’s annual Family Sports Festival takes place this Saturday, June 15, 11:00 a.m. – 5:00 p.m. at Seward Park, 375 W Elm St. Family Sports Festival provides a free day of fun and fitness for Chicago children and adults alike. This community event provides people with an opportunity to experience a wide range of different sports through interactive stations featuring more than 25 sports and activities. World Sport Chicago is also proud to partner with Catholic Charities of the Archdiocese of Chicago on the kick-off of their 2013 Summer Food Program – providing all participants 18 and younger with a free, nutritious, lunch. Additionally, the Catholic Charities health and wellness corner will feature free health screenings, nutrition tips and cooking demonstrations. Special guest Kerri Strug, 1996 Olympic gold medal-winning gymnast, will be attending from 12:00 – 2:00 p.m. and all of Chicago’s professional sport teams are participating in the event. Strug will also be available to media from 6:00 a.m. – 12:00 p.m. on Saturday.Find more info by visiting:",1,2
"Thanks for sharing with us Carrie!",0,4
"We're proud of Charles Jenkins, a leader and father who has worked tirelessly with CCH for more than a decade for families like his.",0,4
"Teacher Licensure changes in Illinois July 1. Read on",0,2
"Congrats to this year's 2013 Partner of the Year Award, Heartland Alliance Policy & Advocacy!",0,4
"Let your Girl Scout pride shine, and get your geek on at the grand opening of Microsoft's new retail store at Woodfield Mall in Schaumburg!Microsoft chose our council as one of the community partners to benefit from their high-energy grand opening! In addition to providing attendees with discounts and freebies, Microsoft will generously support our council with technological gifts.The ribbon cutting and grand opening begin at 10:30 a.m., and later that evening there will be a special performance by weezer! Microsoft has gifted us 75 tickets, which may be claimed first-come, first-served. In order to receive the weezer tickets, attendees must be present at the ribbon cutting. Let us know you're coming by RSVP-ing here:",1,2
"Only a few days left until Able's Sky is the Limit fundraiser! Have you bought your tickets yet?You'll want to be there to try Epic's delicious, chef specialty appetizers including fried chicken satay and fresh shrimp ceviche!And for dessert... Stay tuned to find out in our next post!",0,2
"Utterly incomprehensible how Tom Cruise could come to the conclusion that Walmart has been good for women. #WMTFAIL",0,3
"This is going to be a fantastic event! For all of you who appreciate the delicious food and drink created by Chef Randy Zweiban and his wonderful staff at Province, I invite you to join us for a very intimate cocktail reception with proceeds to benefit Care for Real.",1,2
"H.O.M.E. is doing it's part in National Hunger Awareness Month. Many seniors in Chicago lack access to healthful food due to living in a food desert. In order to ameliorate the problem, H.O.M.E. employs its shopping bus, taking seniors stranded in food deserts to supermarkets and grocery stores, giving them access to healthier foods. Check out the services we offer here: urlm.in/rprq",0,2
"Good for you Sebastien!",0,4
"National Movement Weekly Update. June 13, 2013. KidTips. Success Stories. And more.",1,3
"Happy Flag Day",0,5
"Hooray! We made $1.7 million for our 2013 Candy Days, making it our best year ever! Thanks to everyone who volunteered, donated and prayed for beautiful weather.",0,4
"#ShoeCrush",0,5
"An especially happy Friday at The Cara Program! Since July of last year, we've reached our goal and placed 270 motivated students into quality, permanent jobs! Congratulations to each student who started their career and props to our hard working program staff that walked alongside them to make it happen. Thank you community, we all share in this achievement together!",0,4
"We've started to fill the barrel...",1,1
"Agree?",0,1
"We are excitedly getting ready for our event (and our \Able-tini\)!",0,2
"PAWS Chicago would like to introduce you to several of the beautiful Pit Bull mixes currently available for adoption at the Adoption Center. Many of these dogs had extended stays at Chicago’s city pound and were transferred to PAWS Chicago where they could have a second chance at life. Each of these dogs have passed PAWS Chicago’s temperament and behavior testing and will make wonderful pets for many families. These dogs are a part of PAWS Chicago’s Pit Pals program which aims to share knowledge about the often misunderstood Pit Bull and works to adopt ambassadors of the breed to loving homes. Through this program, PAWS Chicago works with potential adopters so that they are armed with the knowledge and understanding which will lead to a lifetime of companionship and love with their new furry friend.Click through the photos to meet some of the dogs available for adoption! You may also meet these sweethearts by visiting PAWS Chicago’s Adoption Center located at 1997 N. Clybourn Ave. For more information about the Pit Pals program, please visit",1,2
"Today, JP Morgan Chase sent 30 college interns to complete a community service project here at TRP. Projects included painting over graffiti, collecting trash around the block, planting new flowers and bushes, tidying the back play lot, and diligently cleaning all the windows at the La Casa Resource Center. It was a great day for working outside and beautifying TRP!",0,2
"Tag - you are it! :) All Things Positivity",0,1
"Happy Flag Day, everyone! It's beautiful in Norwood Park so come on out and find some deals!",0,1
"ESL students say farewell to teacher, Renee Brown. You will be greatly missed Renee. Thank you for all your great contributions to IAC!",0,4
"Students show their appreciation to ESL teacher, Renee, on her last day at IAC by providing a buffet of food for the class.",0,4
"Check the blog for some high lights from last night!",1,3
"To all the father's out there HAPPY FATHER'S DAY from Erie Neighborhood House!",0,5
"We're wishing Marji Leslie and our DBSA-GC President Judy Sturm safe travels as they attend the National DBSA Conference in Miami this weekend!",0,2
"Looking for something to do tomorrow? Join Albany Park Cease Fire at Our Lady of Mercy (4430 N. Kedzie) for free food, carnival games, face painting & music. See you there rain or shine! 5pm-9pmCelebrate peace in our community with fun for the whole family!",0,2
"It's the Community Empowerment Hour, #AskPastorCorey! Tune in to @Inspiration1390 right now!!! Listen live on @iHeartRadio",0,2
"#AskPastorCorey on air today on @Inspiration1390. Remember we gang up on the problem and not each other. Tune in at 2!",0,2
"Thank you to all who helped us celebrate our 32nd Anniversary today! A very special thanks to Women Employed's Anne Ladky for an amazing Keynote Address. Have a great weekend and be on the lookout for photos from today's event within the next week or so.",0,4
"We are launching a brand new program in partnership with the Lake Forest Sailing! Very exciting, servicing Northern Illinois and Southern Wisconsin. Please join us at the Open House on Saturday, June 15th from 1pm - 3pm at 501 N. Lake Road in Lake Forest and learn more about this new program!",0,2
"Thanks to everyone who joined us for the Auxiliary Board Spring Event last night at Plymouth - we had a great time and some perfect weather too! The event raised over $1000 to support LYDIA!",0,4
"30 minutes until #AskPastorCorey on air on @Inspiration1390. Tune in live at 2 on  or on @iHeartRadio",1,2
"Thanks to Chipotle on 95th for donating burritos at out TRU Ambassador's Carnival event today at Sherwood elementary!",0,4
"Are you ready for #AskPastorCorey?! Listen live on  We're live in 5 minutes!",1,2
"Don't forget to get your tickets for the Wine Tasting next Friday!!",0,2
"Just a few hours left to join us for our private tour of FEW Spirits Distillery in Evanston (918 Chicago Ave), tomorrow at noon. The $20 donation made during registration goes straight to The Network so please consider joining us for this unique experience (complete with tasting samples!)",0,2
"If Duncan can succeed, he would deliver Obama a legacy-building victory that they believe could narrow the academic gap between poor and privileged children — a disparity that has budged little since it was first identified in 1966.",0,3
"Celebrating the Army's birthday as well as Flag Day!",0,3
"We are so proud of our ED, Lisa Colpoys, for winning the Esther Rothstein award! Thanks to all at the Lawyers Trust Fund of Illinois for hosting a great event (despite the derecho) on Wednesday!",0,4
"Every One Has A Role In Ending Domestic Violence!",0,3
"With 100 class sessions at Inspiration Kitchens come hundreds of success stories. Here's one from many years ago we felt like sharing again!",1,3
"AAPI Leaders Forum this Saturday, be on the waitlist.",0,2
"See you tomorrow!",0,2
"So you don't want to engage in cosplay but you want to attend CALIcon 2013. Good news! You can watch sessions live on YouTube.",0,3
